iter	Logloss
265	0.07266211478
266	0.07236671514
267	0.07198714935
268	0.07172180493
269	0.07150318787
270	0.07115798113
271	0.0709271649
272	0.07075052641
273	0.07048385489
274	0.07020469596
275	0.06995597615
276	0.06973432735
277	0.06952407167
278	0.06935192441
279	0.06909450588
280	0.06885582245
281	0.0685686071
282	0.0683972044
283	0.06819865026
284	0.0680578242
285	0.06788444794
286	0.06770365141
287	0.06749099231
288	0.06730687462
289	0.0670505249
290	0.06685489443
291	0.0666796325
292	0.06641052914
293	0.06623398667
294	0.06602210497
295	0.06584736756
296	0.06561280722
297	0.065434484
298	0.06523295248
299	0.06508240321
300	0.06489340902
301	0.06469727324
302	0.06448103146
303	0.06435424792
304	0.06410331833
305	0.06388842737
306	0.06366112623
307	0.06350363893
308	0.06327034551
309	0.06298650799
310	0.06277220429
311	0.06258396072
312	0.06239468223
313	0.06230430851
314	0.06217884412
315	0.06207366286
316	0.06192375941
317	0.06177832326
318	0.0615606701
319	0.06137822461
320	0.06125753502
321	0.061111238
322	0.06093603767
323	0.06082399961
324	0.06064792608
325	0.06044366878
326	0.06019247678
327	0.0600636368
328	0.0598974101
329	0.05972446284
330	0.0595844951
331	0.05946439387
332	0.05924317175
333	0.05904500904
334	0.05889245461
335	0.05874755928
336	0.05858892432
337	0.05841830719
338	0.05832532772
339	0.05813240724
340	0.057973214
341	0.05781764364
342	0.05762007886
343	0.05748318519
344	0.05735160369
345	0.05719278826
346	0.05707026125
347	0.05694215112
348	0.05682871143
349	0.05671345426
350	0.05655271758
351	0.05636167877
352	0.05619948178
353	0.05609485953
354	0.05597786308
355	0.05583320639
356	0.05567279079
357	0.05544785172
358	0.05531641478
359	0.05517858686
360	0.05504289057
361	0.05489923073
362	0.05465461819
363	0.054495137
364	0.05438994014
365	0.05425571626
366	0.0541137227
367	0.05390083043
368	0.05373887508
369	0.0536004149
370	0.05348129599
371	0.05335239044
372	0.05319275599
373	0.05302630217
374	0.05291580308
375	0.05279863548
376	0.05274254596
377	0.05259089142
378	0.05248293367
379	0.05238508223
380	0.05223311708
381	0.05206966399
382	0.05196141525
383	0.05176379329
384	0.05165083837
385	0.05142724205
386	0.05130971211
387	0.05120770176
388	0.05110775042
389	0.05096668538
390	0.05078604865
391	0.05068912195
392	0.05055016312
393	0.05044490612
394	0.05026024341
395	0.05013025478
396	0.04999956241
397	0.04989945592
398	0.0497835285
399	0.04966306974
400	0.04951484197
401	0.04940552896
402	0.04926340251
403	0.04912011198
404	0.04906484756
405	0.04893979549
406	0.04882575501
407	0.04873224034
408	0.04860330775
409	0.04851214257
410	0.04842026893
411	0.04829004762
412	0.04817978752
413	0.04806574058
414	0.04792223477
415	0.04781920737
416	0.04777599136
417	0.04768002568
418	0.0476072176
419	0.04754483782
420	0.04748482816
421	0.04737097695
422	0.04728420417
423	0.04719399455
424	0.04714000088
425	0.04709190181
426	0.04699507039
427	0.04691903208
428	0.04681912923
429	0.04670403869
430	0.0466122461
431	0.04648851558
432	0.04641374858
433	0.04631502317
434	0.04617826541
435	0.04606962396
436	0.04599744221
437	0.04589960056
438	0.04582442111
439	0.04577320626
440	0.04566655486
441	0.04557835543
442	0.04548954313
443	0.04540558463
444	0.0452490671
445	0.04517874372
446	0.04506173484
447	0.04501601768
448	0.04494911314
449	0.04483566048
450	0.04479544594
451	0.04467314371
452	0.04459516943
453	0.04443855493
454	0.04436362195
455	0.04430285225
456	0.04424221233
457	0.0442026408
458	0.04414081094
459	0.04406422785
460	0.04400713231
461	0.04395092898
462	0.04390198488
463	0.04380320194
464	0.04375120497
465	0.04364980388
466	0.04353680202
467	0.04340212546
468	0.04334358287
469	0.04327027754
470	0.04320721248
471	0.04314942755
472	0.04310797602
473	0.04291868937
474	0.04282295038
475	0.04270133828
476	0.04262553363
477	0.04256964584
478	0.04253523774
479	0.0424956625
480	0.0423871205
481	0.04229756303
482	0.04225047322
483	0.04218443714
484	0.04212071767
485	0.04201155256
486	0.04192343712
487	0.0417840313
488	0.04168753986
489	0.04162248776
490	0.04153687833
491	0.04148896687
492	0.04144734015
493	0.04138290734
494	0.04128346604
495	0.04118947312
496	0.04111092077
497	0.04098175124
498	0.04090958955
499	0.04081862599
