iter	Logloss
0	0.6390281948
1	0.5975243063
2	0.564088436
3	0.5279868484
4	0.4943083888
5	0.4730228257
6	0.4466925968
7	0.4259973671
8	0.4058604621
9	0.3907534935
10	0.3783057215
11	0.3659668191
12	0.356239371
13	0.3449233092
14	0.3356305136
15	0.3281573023
16	0.3196706532
17	0.3125577354
18	0.305240226
19	0.3003292113
20	0.294052777
21	0.2865057568
22	0.281408618
23	0.2756277391
24	0.2701033621
25	0.2657858264
26	0.2623488931
27	0.2582441848
28	0.2548413336
29	0.250182136
30	0.2465211538
31	0.242637247
32	0.2393325624
33	0.235515141
34	0.2330052077
35	0.2295422145
36	0.2275947791
37	0.2244995357
38	0.2226126167
39	0.2191680037
40	0.2165002172
41	0.2136077305
42	0.2112771465
43	0.2092999524
44	0.2062531929
45	0.2041165325
46	0.201416505
47	0.1997412275
48	0.1975466877
49	0.1959067929
50	0.194604817
51	0.1926253133
52	0.1908687256
53	0.1893619786
54	0.1880724776
55	0.1861490804
56	0.1847763457
57	0.1835852061
58	0.1824733089
59	0.180850926
60	0.1790854946
61	0.1773005825
62	0.1754466756
63	0.1742983537
64	0.1728310856
65	0.1714085162
66	0.1705928944
67	0.1697552753
68	0.168398415
69	0.1674107562
70	0.1666739413
71	0.1658716199
72	0.164411221
73	0.1633809032
74	0.1623631815
75	0.1615674893
76	0.160162545
77	0.1592235309
78	0.1581071737
79	0.1565622124
80	0.1555565666
81	0.1543960925
82	0.1533449444
83	0.1525223747
84	0.151298426
85	0.1508834953
86	0.1501255506
87	0.1493606155
88	0.1481231326
89	0.1469700197
90	0.1460171954
91	0.1451113849
92	0.1444309121
93	0.1436254918
94	0.142402281
95	0.1416000049
96	0.1408147675
97	0.1398700672
98	0.1389233543
99	0.1383288165
100	0.1375975163
101	0.1367779886
102	0.1358139131
103	0.1350136834
104	0.1345097167
105	0.1339171609
106	0.1331300654
107	0.1326736445
108	0.1322734782
109	0.1317454671
110	0.1308849821
111	0.1303211944
112	0.1297369114
113	0.1292957446
114	0.1286049112
115	0.1280807215
116	0.1274537402
117	0.1269501069
118	0.1264435016
119	0.1258280392
120	0.1253196766
121	0.1247527516
122	0.1238766511
123	0.1233440487
124	0.1230061292
125	0.1224219475
126	0.121896905
127	0.1214302614
128	0.1209783819
129	0.1206477708
130	0.1200349391
131	0.1195839966
132	0.1193240978
133	0.1187646558
134	0.1184526346
135	0.1179093357
136	0.1176276406
137	0.1171634914
138	0.1168171516
139	0.1165508013
140	0.1158001536
141	0.1153534184
142	0.1148558703
143	0.1144522316
144	0.1139437672
145	0.11341706
146	0.1129678528
147	0.112630673
148	0.1118656609
149	0.1116221313
150	0.1111951818
151	0.1107408129
152	0.1104429903
153	0.1100390569
154	0.1095340236
155	0.1091253727
156	0.1085441327
157	0.1081416907
158	0.1076546048
159	0.107142049
160	0.1065880838
161	0.1060576159
162	0.1056357584
163	0.1051755184
164	0.1048140953
165	0.1043792827
166	0.1040764366
167	0.1038268575
168	0.1034874038
169	0.1031478951
170	0.1028278821
171	0.1025597849
172	0.1022142113
173	0.1016879871
174	0.1013520498
175	0.1009607692
176	0.100776382
177	0.1003447838
178	0.1000055943
179	0.09973291129
180	0.099374794
181	0.09905094207
182	0.09858245961
183	0.09832109531
184	0.09794390217
185	0.09764902131
186	0.09700791396
187	0.09662325851
188	0.09636365296
189	0.09580637791
190	0.09541358658
191	0.09516821984
192	0.09477073389
193	0.09431799846
194	0.09389315517
195	0.09366217919
196	0.09324215042
197	0.09282631304
198	0.09241834813
199	0.09214290895
200	0.09189020598
201	0.09170396851
202	0.09138387536
203	0.09098570642
204	0.09064086924
205	0.09021826199
206	0.08994973926
207	0.08963739857
208	0.08937439619
209	0.08910778068
210	0.08874610042
211	0.08836387322
212	0.08796783508
213	0.08758039165
214	0.08716079623
215	0.08685696757
216	0.08657373683
217	0.08627721723
218	0.08603483603
219	0.08585943475
220	0.08538774192
221	0.08513568733
222	0.08483301234
223	0.08457712993
224	0.08432304338
225	0.0840276682
226	0.08361071252
227	0.08330797091
228	0.08310312949
229	0.08284729333
230	0.08242884342
231	0.08198034027
232	0.0817057408
233	0.08141102885
234	0.08116731873
235	0.08084554271
236	0.0805635937
237	0.08019561298
238	0.08006072922
239	0.07982435739
240	0.07964497687
241	0.07931247695
242	0.07897086843
243	0.0787666882
244	0.07832757247
245	0.07796208636
246	0.07766596543
247	0.07750192976
248	0.07735919351
249	0.0769692109
250	0.07676687156
251	0.0764641358
252	0.0761666935
253	0.07581970123
254	0.0755324283
255	0.07523152648
256	0.07495245753
257	0.07460334616
258	0.07436806568
259	0.0741201663
260	0.0738705856
261	0.07365616564
262	0.0734027621
263	0.07307322747
264	0.07281745829
